Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,status
116.99375,41.09375,66.69375,-64.50625,-126.40625,8.39375,22.49375,42.19375,53.29375,4.49375,2.49375,73.79375,129.29375,0.09375,-124.90625,-245.50625,1
115.93125,38.63125,64.73125,-64.66875,-125.26875,8.73125,27.03125,43.23125,57.53125,11.13125,2.33125,72.23125,125.73125,-5.46875,-123.06875,-248.76875,1
115.725,38.325,66.025,-62.675,-135.375,9.025,29.425,47.125,49.925,24.425,1.225,72.925,123.225,-3.075,-129.975,-246.275,1
120.15625,40.75625,71.05625,-59.54375,-148.34375,12.15625,32.25625,49.05625,41.05625,12.75625,1.85625,73.55625,128.65625,-0.14375,-133.24375,-242.04375,1
119.5,39.5,71.3,-59.2,-125.5,14.8,28.5,48.8,42.2,-1.2,1.4,70.3,116.1,3.4,-129.0,-240.9,1
116.7375,35.9375,69.2375,-60.3625,-96.9625,13.5375,31.5375,46.8375,43.5375,5.3375,-0.3625,68.9375,103.8375,-1.6625,-130.5625,-245.5625,1
116.65,32.45,69.45,-60.75,-100.65,10.95,34.75,47.35,40.45,2.95,-1.85,65.05,131.95,-4.95,-131.65,-252.15,1
118.39375,32.79375,67.79375,-56.50625,-115.40625,18.09375,37.19375,53.19375,43.89375,1.89375,-0.80625,63.19375,132.99375,-8.50625,-131.40625,-256.80625,1
118.75,32.15,68.25,-55.85,-117.35,16.15,36.45,54.45,45.55,5.05,-1.15,61.95,132.45,-9.15,-132.15,-255.55,1
117.21875,33.61875,66.91875,-54.98125,-125.68125,16.91875,38.61875,54.01875,46.01875,6.61875,-1.58125,63.11875,124.71875,-3.98125,-130.58125,-250.98125,1
116.75,36.95,68.55,-52.95,-130.05,20.55,42.25,54.75,43.75,6.15,-3.25,65.15,115.85,-4.15,-131.35,-248.95,1
115.04375,34.34375,71.24375,-56.55625,-104.35625,18.64375,25.64375,50.64375,40.34375,4.44375,-6.65625,64.04375,125.14375,0.14375,-134.45625,-247.65625,1
115.7375,32.9375,73.4375,-56.1625,-113.6625,23.7375,21.6375,52.1375,42.8375,6.7375,-5.8625,65.2375,107.5375,9.8375,-134.0625,-242.0625,1
116.1375,30.2375,71.5375,-57.9625,-120.8625,26.3375,28.1375,50.8375,39.7375,1.9375,-8.1625,62.0375,133.1375,8.0375,-137.0625,-244.0625,1
117.1,28.5,71.5,-62.6,-95.8,19.7,32.8,49.4,38.2,0.1,-9.7,60.9,131.1,3.2,-138.6,-245.8,1
120.14375,33.24375,74.04375,-62.35625,-104.35625,14.74375,34.04375,47.94375,39.64375,2.04375,-8.55625,64.24375,132.24375,-6.15625,-137.75625,-243.15625,1
121.53125,31.93125,76.73125,-63.46875,-105.86875,16.13125,36.03125,48.33125,40.83125,0.93125,-8.56875,63.83125,126.23125,-0.06875,-137.26875,-247.26875,1
122.75,33.05,76.25,-63.25,-109.55,17.45,32.65,47.45,41.95,2.75,-7.75,64.75,119.15,7.25,-137.65,-247.25,1
124.03125,37.43125,73.83125,-60.76875,-124.26875,18.93125,32.53125,48.53125,42.13125,1.33125,-6.06875,66.03125,119.23125,9.83125,-137.36875,-245.36875,1
124.7625,38.2625,74.2625,-60.8375,-119.3375,22.7625,29.4625,47.7625,39.9625,1.2625,-5.8375,67.3625,118.0625,4.1625,-139.2375,-242.8375,1
126.84375,40.04375,76.64375,-62.35625,-116.45625,13.14375,27.44375,46.54375,40.84375,4.94375,-3.55625,70.74375,120.24375,-5.55625,-137.55625,-241.95625,1
125.275,42.775,77.575,-60.925,-116.325,15.675,30.975,46.575,38.075,1.775,-4.125,71.375,117.575,-2.325,-139.225,-244.725,1
124.0875,44.8875,76.8875,-61.7125,-127.2125,13.4875,33.0875,43.8875,40.0875,5.7875,-2.4125,74.7875,115.0875,-0.4125,-138.9125,-241.4125,1
120.3125,45.8125,74.6125,-63.4875,-118.3875,10.9125,27.9125,40.8125,39.0125,6.1125,-3.4875,75.6125,116.9125,4.3125,-140.6875,-236.2875,1
118.625,48.825,73.525,-60.475,-117.775,20.425,24.825,44.125,35.825,-12.375,-5.275,73.025,120.225,16.325,-142.775,-237.075,1
117.16875,49.36875,70.86875,-59.73125,-135.73125,22.56875,30.36875,45.46875,38.76875,-4.23125,-4.23125,75.16875,117.66875,11.56875,-140.33125,-234.73125,1
119.0375,47.6375,72.5375,-61.7625,-139.3625,18.9375,32.1375,46.3375,48.6375,11.2375,-0.1625,76.9375,105.0375,-3.2625,-134.3625,-239.5625,1
114.83125,40.33125,64.83125,-68.36875,-119.66875,16.43125,31.43125,43.43125,49.23125,20.53125,-1.56875,75.23125,108.93125,-0.26875,-134.46875,-240.86875,1
117.9,38.5,65.5,-68.6,-113.4,17.6,27.6,44.7,45.9,6.8,-0.2,73.3,122.0,0.5,-134.0,-244.1,1
120.6375,42.8375,68.0375,-66.5625,-121.1625,20.9375,23.1375,46.9375,51.3375,9.2375,3.0375,77.9375,90.8375,4.8375,-134.5625,-237.4625,1
118.56875,43.26875,64.16875,-70.13125,-111.13125,17.76875,25.06875,42.06875,46.16875,10.06875,-0.23125,78.36875,101.76875,6.46875,-141.73125,-230.53125,1
119.125,43.525,64.525,-69.375,-126.575,18.125,29.125,41.825,44.425,3.325,0.025,76.125,122.525,8.025,-139.175,-235.575,1
