iter	Logloss
0	0.6404331624
1	0.6071840639
2	0.5703831473
3	0.5432865035
4	0.5181508299
5	0.495701406
6	0.4789972329
7	0.4596768165
8	0.4419473862
9	0.4265761017
10	0.4124855451
11	0.40185228
12	0.3879423722
13	0.3796492743
14	0.370521353
15	0.3637104999
16	0.3547455214
17	0.3481166088
18	0.3416759446
19	0.3361952299
20	0.3297477618
21	0.3228648116
22	0.3174780655
23	0.3117203565
24	0.3046528021
25	0.2994222816
26	0.2956000016
27	0.290957578
28	0.2859864398
29	0.2837746187
30	0.2805049938
31	0.2778052554
32	0.2737099423
33	0.2696884751
34	0.2657745937
35	0.2625937669
36	0.2601268626
37	0.2576092972
38	0.2534658287
39	0.2510172739
40	0.2474005143
41	0.2445699399
42	0.2422134135
43	0.2398169328
44	0.2364139812
45	0.2338254288
46	0.2304165579
47	0.2283194815
48	0.2254131697
49	0.2229641879
50	0.2202194124
51	0.2177039146
52	0.2161145449
53	0.2142968712
54	0.2129948155
55	0.2111561585
56	0.2087744112
57	0.2065745772
58	0.205217387
59	0.2039177872
60	0.2025865053
61	0.201583899
62	0.1987562897
63	0.1972864639
64	0.1950841133
65	0.1933960871
66	0.1918023713
67	0.1902997494
68	0.1886842562
69	0.1873606942
70	0.1850031451
71	0.1834336663
72	0.1816244484
73	0.1799444602
74	0.1788833416
75	0.177512389
76	0.1764068157
77	0.1745907945
78	0.1731499936
79	0.1714226721
80	0.1702335694
81	0.1692536623
82	0.1676639773
83	0.1668109866
84	0.1655092997
85	0.1639621397
86	0.1617134323
87	0.1600018413
88	0.1586704055
89	0.1579714324
90	0.1572551667
91	0.1559313193
92	0.1552550091
93	0.1546421502
94	0.1536993386
95	0.1522537506
96	0.1515814744
97	0.1502549744
98	0.1489354667
99	0.1480798857
