iter	Passed	Remaining
0	0	66
1	2	125
2	4	130
3	5	137
4	7	136
5	8	132
6	9	131
7	11	129
8	12	129
9	14	130
10	16	129
11	17	129
12	19	127
13	20	126
14	22	125
15	23	124
16	25	124
17	26	122
18	28	121
19	29	119
20	31	118
21	32	116
22	34	115
23	36	114
24	37	112
25	38	109
26	40	108
27	42	108
28	44	107
29	45	107
30	47	106
31	48	102
32	50	102
33	52	101
34	53	99
35	56	99
36	57	98
37	59	97
38	61	95
39	63	94
40	65	93
41	67	92
42	68	90
43	70	89
44	72	88
45	74	87
46	76	85
47	77	84
48	79	82
49	81	81
50	82	79
51	84	78
52	87	77
53	88	75
54	90	74
55	92	72
56	93	70
57	95	69
58	97	67
59	98	65
60	100	64
61	101	62
62	103	60
63	105	59
64	107	57
65	109	56
66	110	54
67	112	53
68	114	51
69	116	49
70	117	48
71	119	46
72	120	44
73	121	42
74	123	41
75	124	39
76	126	37
77	128	36
78	129	34
79	131	32
80	133	31
81	135	29
82	136	28
83	138	26
84	140	24
85	142	23
86	143	21
87	145	19
88	147	18
89	149	16
90	150	14
91	152	13
92	154	11
93	156	9
94	157	8
95	159	6
96	160	4
97	162	3
98	164	1
99	165	0
